0,,,1,,,2,,, 
0.037405,0.007718, ,0.012185,0.003021, ,461.3363113,-224.8455424, , 
0.056147,0.006733, ,0.012222,0.003732, ,460.6854227,-223.3932083, , 
0.073712,0.005508, ,0.014309,0.004276, ,460.0476977,-221.9350473, , 
0.087637,0.0041, ,0.018807,0.004584, ,459.4339931,-220.4666208, , 
0.095304,0.002578, ,0.02591,0.004619, ,458.8437988,-218.9885881, , 
0.095135,0.00102, ,0.035737,0.004376, ,458.2515144,-217.511355, , 
0.087602,-0.0005, ,0.048241,0.003873, ,457.5963682,-216.0608554, , 
0.07508,-0.001917, ,0.062823,0.003142, ,456.7900095,-214.6886938, , 
0.060579,-0.003178, ,0.077882,0.002219, ,455.7510711,-213.4831773, , 
0.046458,-0.004237, ,0.090839,0.001146, ,454.4541861,-212.5609607, , 
0.033958,-0.005052, ,0.098927,-0.000032, ,452.956362,-212.0234127, , 
0.02345,-0.005583, ,0.100295,-0.001261, ,451.3696089,-211.9008697, , 
0.014886,-0.005798, ,0.09468,-0.00248, ,449.7949978,-212.1328613, , 
0.008151,-0.005687, ,0.083308,-0.003623, ,448.274114,-212.6020351, , 
0.003183,-0.005276, ,0.068273,-0.004632, ,446.795236,-213.190133, , 
-0.000082,-0.004633, ,0.051805,-0.005454, ,445.3325189,-213.8173034, , 
-0.001856,-0.003862, ,0.035732,-0.006046, ,443.8739454,-214.4541033, , 
-0.002561,-0.003076, ,0.021242,-0.006368, ,442.4250982,-215.1127391, , 
-0.00273,-0.002372, ,0.008939,-0.006385, ,441.0027048,-215.826682, , 
-0.002814,-0.001818, ,-0.000928,-0.006075, ,439.6278092,-216.6282578, , 
-0.00305,-0.001453, ,-0.008214,-0.005441, ,438.3168251,-217.5305538, , 
-0.003444,-0.001301, ,-0.012758,-0.004521, ,437.0664557,-218.5151798, , 
-0.003851,-0.00138, ,-0.014489,-0.003382, ,435.836383,-219.5252212, , 
-0.004089,-0.001707, ,-0.013662,-0.002103, ,434.5483625,-220.4603125, , 
-0.004052,-0.002304, ,-0.010988,-0.000756, ,433.1254539,-221.1731982, , 
-0.003806,-0.003186, ,-0.007439,0.000603, ,431.5654015,-221.487012, , 
-0.003646,-0.00433, ,-0.003886,0.001936, ,429.9905395,-221.2596071, , 
-0.004101,-0.005639, ,-0.000827,0.003207, ,428.6093439,-220.4694812, , 
