1,,2,,3,,4,
288.127151,-296.9680909,440.6990434,-373.9947325,469.9584332,-261.7768432,246.8868762,-232.3361648
289.7333544,-297.0994964,442.0761454,-374.6372781,469.8637316,-260.1881458,245.7290418,-233.4316194
291.3345489,-297.2820606,443.4468451,-375.2933823,469.6949128,-258.6056018,244.7246411,-234.669233
292.928884,-297.5171317,444.8251793,-375.9332763,469.4866491,-257.0277652,243.9274493,-236.0494205
294.5155399,-297.7994294,446.2234877,-376.5282333,469.2724941,-255.4507242,243.3833432,-237.5475507
296.094497,-298.1220169,447.6468751,-377.0604162,469.0759326,-253.8713964,243.1129116,-239.1183425
297.6649986,-298.4835357,449.0925931,-377.5285792,468.9035633,-252.2892403,243.105449,-240.7122475
299.2238338,-298.8924425,450.5539801,-377.9452668,468.7446997,-250.7056681,243.3273877,-242.2906515
300.7644976,-299.3652162,452.0248902,-378.326967,468.5785036,-249.1228532,243.7384941,-243.830653
302.2776505,-299.9197564,453.5020599,-378.6836762,468.3851449,-247.5431295,244.307064,-245.3197252
303.7529703,-300.5682767,454.9853359,-379.0140781,468.154607,-245.9683988,245.0192261,-246.7457134
305.1817762,-301.3137098,456.476278,-379.307945,467.8880943,-244.3993537,245.8804131,-248.0869724
306.5589285,-302.1507387,457.9760439,-379.552817,467.5919583,-242.8356296,246.9074518,-249.3058867
307.8826867,-303.0698884,459.4840563,-379.7403338,467.2691453,-241.2771936,248.1119472,-250.349743
309.1522826,-304.0625122,460.9982452,-379.8687953,466.9146318,-239.7256624,249.4825639,-251.1632446
310.3638604,-305.1251796,462.5161451,-379.9412716,466.5180483,-238.1843518,250.9794546,-251.7107438
311.5059769,-306.2621759,464.0356426,-379.9612677,466.071048,-236.6569008,252.5477732,-251.9952825
312.5564847,-307.4843109,465.5549312,-379.9291356,465.573379,-235.1451955,254.1404245,-252.0595167
313.4832143,-308.8027598,467.0720324,-379.8415562,465.0331496,-233.6481703,255.7317029,-251.9675496
314.2506068,-310.2198664,468.5844933,-379.6941641,464.4618478,-232.1627266,257.3148241,-251.7823428
314.8320628,-311.7228575,470.089687,-379.4852216,463.8685541,-230.6859295,258.8923205,-251.5541519
315.2235562,-313.2861394,471.5855629,-379.217592,463.2575184,-229.2163849,260.4694974,-251.3237214
315.4520423,-314.8814375,473.0711309,-378.8976547,462.6299496,-227.7538247,262.051882,-251.1322472
315.5758359,-316.4882731,474.5461764,-378.5322629,461.9877375,-226.2976347,263.642258,-251.0261275
315.6797453,-318.0965368,476.0106394,-378.1265348,461.3363113,-224.8455424,265.235971,-251.0496811
315.8679948,-319.6971248,477.4646554,-377.6848328,460.6854227,-223.3932083,266.8196727,-251.2295988
316.2519744,-321.2622891,478.909789,-377.2148784,460.0476977,-221.9350473,268.3782421,-251.5634181
316.9257999,-322.7261439,480.3506983,-376.7321122,459.4339931,-220.4666208,269.9045104,-252.0229011
317.9311241,-323.9855142,481.7951668,-376.2601071,458.8437988,-218.9885881,271.4010039,-252.5716231
319.2324067,-324.9359726,483.2508303,-375.8238944,458.2515144,-217.511355,272.8719931,-253.1854412
320.7312181,-325.5281055,484.7200757,-375.4359011,457.5963682,-216.0608554,274.314463,-253.8635808
322.3195842,-325.8011953,486.1970682,-375.0783758,456.7900095,-214.6886938,275.7149259,-254.6246702
323.9299838,-325.8649329,487.6666188,-374.6911724,455.7510711,-213.4831773,277.0525281,-255.4914629
325.5414349,-325.8458857,489.0965662,-374.1766853,454.4541861,-212.5609607,278.306476,-256.4754037
327.1529703,-325.8396212,490.4201728,-373.4302453,452.956362,-212.0234127,279.4639181,-257.5712579
328.7636776,-325.8923462,491.5281652,-372.3904715,451.3696089,-211.9008697,280.5224674,-258.7629216
330.3709734,-326.009717,492.2994974,-371.08139,449.7949978,-212.1328613,281.4850331,-260.0333755
331.9739058,-326.1763729,492.6667401,-369.60694,448.274114,-212.6020351,282.3514302,-261.3712597
333.5738022,-326.3700201,492.667684,-368.087221,446.795236,-213.190133,283.1136152,-262.7711291
335.1734979,-326.5653423,492.4374543,-366.5849247,445.3325189,-213.8173034,283.7578798,-264.2290249
336.776137,-326.7347735,492.1495565,-365.0928162,443.8739454,-214.4541033,284.2723565,-265.7376152
338.3832131,-326.8548974,491.9513287,-363.5862935,442.4250982,-215.1127391,284.6550586,-267.2849002
339.993514,-326.9187909,491.9218666,-362.0669962,441.0027048,-215.826682,284.9173583,-268.8570885
341.6048864,-326.9450374,492.0617553,-360.5537827,439.6278092,-216.6282578,285.0804765,-270.4426406
343.2162136,-326.9733256,492.3169951,-359.0557086,438.3168251,-217.5305538,285.1667392,-272.0342231
344.8261202,-327.0461897,492.6205502,-357.5667147,437.0664557,-218.5151798,285.1901586,-273.6279688
346.4314474,-327.1878206,492.9259796,-356.0781035,435.836383,-219.5252212,285.1507562,-275.2214007
348.0298024,-327.3938608,493.2191548,-354.5870199,434.5483625,-220.4603125,285.0348074,-276.8110951
349.6227572,-327.6381456,493.5094204,-353.0953715,433.1254539,-221.1731982,284.8205529,-278.3905407
351.2144863,-327.8902363,493.8118288,-351.60614,431.5654015,-221.487012,284.4869729,-279.9491484
352.8079015,-328.1314571,494.1341465,-350.1210875,429.9905395,-221.2596071,284.0222793,-281.4738091
354.4031518,-328.3602493,494.4750118,-348.6401818,428.6093439,-220.4694812,283.4289851,-282.9531836
355.9988639,-328.5857785,494.829443,-347.1624648,427.5966447,-219.2418583,282.7238275,-284.3826324
357.5938985,-328.8160484,495.1933011,-345.6870414,426.9858071,-217.7720237,281.933049,-285.7665588
359.1885442,-329.0490193,495.5617283,-344.2127513,426.6634365,-216.2132772,281.0853429,-287.116363
360.7845978,-329.2721298,495.9240056,-342.7369344,426.4570412,-214.6352244,280.2051268,-288.4451918
362.3838799,-329.4707222,496.2620024,-341.2553727,426.2300513,-213.0600403,279.3080295,-289.7626818
363.9862746,-329.6424142,496.5570286,-339.7646686,425.9230749,-211.4984004,278.399596,-291.0723819
365.5888583,-329.8126169,496.8017694,-338.2648791,425.5394868,-209.9537837,277.4774568,-292.3724679
367.1836862,-330.0448033,497.0061911,-336.759055,425.1034327,-208.4231685,276.5361359,-293.6587315
368.7467461,-330.4374924,497.1864439,-335.2501629,424.6193438,-206.9070368,275.5725213,-294.9283795
370.2158254,-331.099979,497.3373366,-333.7380176,424.050819,-205.4204658,274.5896622,-296.183192
371.4747217,-332.1059196,497.4048293,-332.2197746,423.3260447,-204.0035122,273.5973715,-297.4305611
372.3735257,-333.4433274,497.282506,-330.7050369,422.368298,-202.7324646,272.6095066,-298.6814356
372.7920273,-334.9994044,496.8489926,-329.2487324,421.1399192,-201.7206786,271.6389629,-299.945793
372.7082878,-336.6087053,496.0377751,-327.964075,419.6775638,-201.0929799,270.6921965,-301.2280534
372.2173603,-338.143801,494.8891569,-326.9694122,418.0938624,-200.9368398,269.7657471,-302.5250739
371.4861579,-339.5801662,493.5265798,-326.2963384,416.535381,-201.259031,268.8471222,-303.8276479
370.6890976,-340.9808543,492.0738116,-325.8496931,415.1166846,-201.9803526,267.9204372,-305.1244953
369.9693847,-342.4226882,490.6039827,-325.4640481,413.872911,-202.9734642,266.9740403,-306.4070272
369.4222093,-343.9384619,489.1563529,-325.0022356,412.7621821,-204.1133802,266.0056245,-307.6730197
369.0856023,-345.5144838,487.7551306,-324.4141027,411.708833,-205.3064288,265.0217531,-308.92704
368.9461201,-347.1200341,486.39963,-323.7270542,410.6489858,-206.4936943,264.031985,-310.1764076
368.9627355,-348.7315387,485.0663668,-322.9979116,409.5498335,-207.6446872,263.040499,-311.4244143
369.0961346,-350.337588,483.7336295,-322.2678063,408.4035546,-208.7487626,262.0398042,-312.6650576
369.328364,-351.9323482,482.3987426,-321.5415873,407.2123667,-209.8042281,261.0118338,-313.8831871
369.6664163,-353.5080692,481.075033,-320.79523,405.9777399,-210.808533,259.9392933,-315.06223
370.1320687,-355.0508908,479.7797547,-320.0005776,404.697608,-211.7541469,258.8233471,-316.2002932
370.7456991,-356.5410464,478.5230381,-319.1462168,403.3689199,-212.6302219,257.6987358,-317.3299301
371.513582,-357.9579041,477.3030555,-318.2401631,401.9906984,-213.4261058,256.642533,-318.5238367
372.4250671,-359.2869507,476.1108988,-317.2978062,400.5647353,-214.1329012,255.7784705,-319.8632083
373.4591269,-360.5230363,474.9409588,-316.3280025,399.0946852,-214.742718,255.2641184,-321.3716428
374.5940774,-361.667182,473.7967086,-315.3280232,397.5857726,-215.2487692,255.2368932,-322.9650379
375.8139718,-362.7202857,472.6855511,-314.2914219,396.0455346,-215.6494718,255.7361173,-324.4785078
377.1090437,-363.6794223,471.6034165,-313.2245354,394.4837426,-215.9556256,256.6708705,-325.7695635
378.4719478,-364.5394443,470.5169137,-312.161984,392.9103235,-216.1950319,257.874429,-326.814939
379.8939094,-365.2978512,469.36045,-311.1760041,391.3331757,-216.4084569,259.1916668,-327.712581
381.3639941,-365.958172,468.0665175,-310.3791901,389.7580472,-216.636201,260.5193822,-328.5942963
382.8713826,-366.5282224,466.6216114,-309.909096,388.1888412,-216.9017112,261.8029122,-329.5392967
